version,timestamp,userId,userName,operation,operationParameters,job,notebook,clusterId,readVersion,isolationLevel,isBlindAppend,operationMetrics,userMetadata,engineInfo
11,2024-08-17T17:05:21.000+0000,8647403558458507,regimaria015@gmail.com,WRITE,"{""mode"":""Overwrite"",""partitionBy"":""[]""}",null,"{""notebookId"":""1704919530911047""}",0817-131508-gfn0l2g0,10,WriteSerializable,false,"{""numFiles"":""1"",""numOutputRows"":""1000"",""numOutputBytes"":""42933""}",null,Databricks-Runtime/12.2.x-scala2.12
10,2024-08-17T17:04:32.000+0000,8647403558458507,regimaria015@gmail.com,WRITE,"{""mode"":""Overwrite"",""partitionBy"":""[]""}",null,"{""notebookId"":""1704919530911047""}",0817-131508-gfn0l2g0,9,WriteSerializable,false,"{""numFiles"":""1"",""numOutputRows"":""1000"",""numOutputBytes"":""43399""}",null,Databricks-Runtime/12.2.x-scala2.12
9,2024-08-17T17:03:27.000+0000,8647403558458507,regimaria015@gmail.com,WRITE,"{""mode"":""Overwrite"",""partitionBy"":""[]""}",null,"{""notebookId"":""1704919530911047""}",0817-131508-gfn0l2g0,8,WriteSerializable,false,"{""numFiles"":""1"",""numOutputRows"":""1000"",""numOutputBytes"":""43427""}",null,Databricks-Runtime/12.2.x-scala2.12
8,2024-08-17T17:02:23.000+0000,8647403558458507,regimaria015@gmail.com,WRITE,"{""mode"":""Overwrite"",""partitionBy"":""[]""}",null,"{""notebookId"":""1704919530911047""}",0817-131508-gfn0l2g0,7,WriteSerializable,false,"{""numFiles"":""1"",""numOutputRows"":""1000"",""numOutputBytes"":""43312""}",null,Databricks-Runtime/12.2.x-scala2.12
7,2024-08-17T17:01:04.000+0000,8647403558458507,regimaria015@gmail.com,WRITE,"{""mode"":""Overwrite"",""partitionBy"":""[]""}",null,"{""notebookId"":""1704919530911047""}",0817-131508-gfn0l2g0,6,WriteSerializable,false,"{""numFiles"":""1"",""numOutputRows"":""1000"",""numOutputBytes"":""42759""}",null,Databricks-Runtime/12.2.x-scala2.12
6,2024-08-17T16:51:58.000+0000,8647403558458507,regimaria015@gmail.com,WRITE,"{""mode"":""Overwrite"",""partitionBy"":""[]""}",null,"{""notebookId"":""1704919530911047""}",0817-131508-gfn0l2g0,5,WriteSerializable,false,"{""numFiles"":""1"",""numOutputRows"":""1000"",""numOutputBytes"":""42759""}",null,Databricks-Runtime/12.2.x-scala2.12
5,2024-08-17T16:51:27.000+0000,8647403558458507,regimaria015@gmail.com,WRITE,"{""mode"":""Overwrite"",""partitionBy"":""[]""}",null,"{""notebookId"":""1704919530911047""}",0817-131508-gfn0l2g0,4,WriteSerializable,false,"{""numFiles"":""1"",""numOutputRows"":""1000"",""numOutputBytes"":""44367""}",null,Databricks-Runtime/12.2.x-scala2.12
4,2024-08-17T15:22:36.000+0000,8647403558458507,regimaria015@gmail.com,WRITE,"{""mode"":""Overwrite"",""partitionBy"":""[]""}",null,"{""notebookId"":""1704919530911047""}",0817-131508-gfn0l2g0,3,WriteSerializable,false,"{""numFiles"":""1"",""numOutputRows"":""1000"",""numOutputBytes"":""44367""}",null,Databricks-Runtime/12.2.x-scala2.12
3,2024-08-17T15:20:37.000+0000,8647403558458507,regimaria015@gmail.com,WRITE,"{""mode"":""Overwrite"",""partitionBy"":""[]""}",null,"{""notebookId"":""1704919530911047""}",0817-131508-gfn0l2g0,2,WriteSerializable,false,"{""numFiles"":""1"",""numOutputRows"":""1000"",""numOutputBytes"":""44363""}",null,Databricks-Runtime/12.2.x-scala2.12
2,2024-08-17T15:17:51.000+0000,8647403558458507,regimaria015@gmail.com,WRITE,"{""mode"":""Overwrite"",""partitionBy"":""[]""}",null,"{""notebookId"":""1704919530911047""}",0817-131508-gfn0l2g0,1,WriteSerializable,false,"{""numFiles"":""1"",""numOutputRows"":""1000"",""numOutputBytes"":""44363""}",null,Databricks-Runtime/12.2.x-scala2.12
1,2024-08-17T15:17:02.000+0000,8647403558458507,regimaria015@gmail.com,WRITE,"{""mode"":""Overwrite"",""partitionBy"":""[]""}",null,"{""notebookId"":""1704919530911047""}",0817-131508-gfn0l2g0,0,WriteSerializable,false,"{""numFiles"":""1"",""numOutputRows"":""1000"",""numOutputBytes"":""44363""}",null,Databricks-Runtime/12.2.x-scala2.12
0,2024-08-17T13:22:14.000+0000,8647403558458507,regimaria015@gmail.com,WRITE,"{""mode"":""Overwrite"",""partitionBy"":""[]""}",null,"{""notebookId"":""1704919530911047""}",0817-131508-gfn0l2g0,null,WriteSerializable,false,"{""numFiles"":""1"",""numOutputRows"":""1000"",""numOutputBytes"":""44363""}",null,Databricks-Runtime/12.2.x-scala2.12
